Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
D09-468.chm13	1243.949156	1237.40276	1217.787084	0	0	57.341331	181288.011494	0	0	0.03642	7.378667999999999	608.5132659999999	2.809446
D09-468.grch38	1247.989842	1225.837556	1204.003236	0	0	46.649190999999995	179252.14712399998	0	0	0.057852	7.266858999999999	601.870261	3.7816579999999997
D12-880.chm13	683.285608	679.04598	664.95655	0	0	40.209129	98071.189972	0	0	0.173959	3.999898	332.338596	3.1844959999999998
D12-880.grch38	684.4721519999999	671.699132	656.5626239999999	0	0	32.086821	96792.419958	0	0	0.18459199999999998	3.945928	328.113243	3.7903949999999997
D12-881.chm13	756.0131739999999	751.3282019999999	738.01433	0	0	45.523365	109247.021851	0	0	0.202814	3.598877	368.86357399999997	3.20165
D12-881.grch38	756.578936	740.8781339999999	726.2085999999999	0	0	35.908871	107481.819871	0	0	0.211753	3.540581	362.92575899999997	3.972727
D12-928.chm13	751.590124	746.6682139999999	729.675944	0	0	49.044351	107283.889197	0	0	0.196816	4.86536	364.544985	3.923762
D12-928.grch38	752.097942	737.44999	719.459162	0	0	40.110811999999996	105709.353357	0	0	0.19513	4.839599	359.400897	4.484499
D13-708.chm13	770.193368	765.6483519999999	751.7551199999999	0	0	38.925484999999995	111825.310866	0	0	0.022959999999999998	2.753539	372.26185799999996	7.8087789999999995
D13-708.grch38	772.39188	758.23964	742.7215719999999	0	0	31.585203	110475.82023	0	0	0.035317999999999995	2.746988	367.736226	8.636606
D13-944.chm13	660.997698	657.5963019999999	648.53882	0	0	31.063820999999997	96564.726187	0	0	0.011772999999999999	3.097864	320.88410999999996	4.816177
D13-944.grch38	662.643636	651.176556	640.7274739999999	0	0	24.744353	95483.618255	0	0	0.014369999999999999	3.076603	316.991171	5.520504
D14-0589.chm13	870.4386139999999	865.267754	846.8762399999999	0	0	53.828976	121922.107093	0	0	0.22605699999999998	5.207485999999999	423.176681	4.249709999999999
D14-0589.grch38	871.7092759999999	855.016076	835.495096	0	0	43.19354	120222.65687199999	0	0	0.24911799999999998	5.127421	417.450902	4.929715
D15-0055.chm13	1083.454856	1077.789214	1071.837756	0	0	46.705197999999996	160260.43532999998	0	0	0.134441	1.406525	535.966447	1.5216349999999998
D15-0055.grch38	1085.851052	1067.0258139999999	1058.864442	0	0	38.233301999999995	158315.909778	0	0	0.14027299999999998	1.388431	529.435919	2.688557
D15-1048.chm13	980.8198339999999	975.113074	968.3516159999999	0	0	45.457696	144731.492538	0	0	0.194758	1.780414	484.2233	1.5528229999999998
D15-1048.grch38	982.7619579999999	964.749996	956.3024939999999	0	0	37.416351	142911.36812199999	0	0	0.20116099999999998	1.7381419999999999	478.18803299999996	2.448823
D15-1050.chm13	1021.295724	1015.828356	1007.1211639999999	0	0	45.392081	150514.185268	0	0	0.205817	2.469134	503.649342	1.795702
D15-1050.grch38	1023.7308519999999	1005.7979339999999	994.4889159999999	0	0	37.410024	148652.156031	0	0	0.20888199999999998	2.400865	497.28842399999996	3.209678
D15-1762.chm13	973.311698	967.197718	948.989528	0	0	48.099002999999996	140988.083587	0	0	0.039594	6.99205	474.177411	2.429398
D15-1762.grch38	975.16446	958.7944239999999	937.588498	0	0	39.164908	139469.633614	0	0	0.063274	6.93671	468.70174699999995	3.758755
D15-1768.chm13	1319.201576	1312.15517	1289.3123779999999	0	0	59.610026999999995	191735.882429	0	0	0.051167	8.733206	644.262798	3.081581
D15-1768.grch38	1322.803804	1299.999006	1275.1961039999999	0	0	49.073015	189610.318947	0	0	0.077508	8.607956	637.425247	3.9663
D16-0208.chm13	968.6090539999999	963.4330199999999	948.7255279999999	0	0	46.502955	140378.052691	0	0	0.031529999999999996	5.322476	467.34955499999995	9.044478999999999
D16-0208.grch38	971.187276	954.17585	937.3240499999999	0	0	37.553089	138723.834703	0	0	0.039446999999999996	5.3202359999999995	461.66478	10.102909
D16-0298.chm13	877.026762	872.048518	857.175588	0	0	40.298662	127308.159932	0	0	0.030243	3.030763	424.692277	8.301219
D16-0298.grch38	878.6954499999999	863.90127	847.883792	0	0	33.243688999999996	125890.430818	0	0	0.04067	3.0813599999999997	420.02675999999997	8.842514999999999
D17-0918.chm13	920.0359559999999	914.495914	900.0340739999999	0	0	51.917369	133310.932431	0	0	0.024690999999999998	5.1498349999999995	443.631571	8.466550999999999
D17-0918.grch38	921.428402	904.675704	888.314272	0	0	40.711655	131595.38539399998	0	0	0.030396999999999997	4.973927	437.792173	9.571752
D18-0051.chm13	755.544456	750.9855239999999	736.3967799999999	0	0	40.85868	109062.958485	0	0	0.023561	5.279439	363.538081	6.675242
D18-0051.grch38	756.5289359999999	742.458764	726.506296	0	0	33.771903	107594.82429599999	0	0	0.032300999999999996	5.277259	358.56867	7.383452999999999
D18-0870.chm13	798.264546	793.2070219999999	776.942852	0	0	42.820992	114895.68115599999	0	0	0.028256999999999997	5.978130999999999	383.317802	7.3075779999999995
D18-0870.grch38	799.835122	784.975552	767.740274	0	0	35.077883	113492.363971	0	0	0.041499	5.875207	378.700918	7.911651
D18-1122.chm13	668.2842959999999	664.0384359999999	651.3658819999999	0	0	36.222418	96628.999403	0	0	0.019697	2.959138	323.13167799999997	5.928402
D18-1122.grch38	669.3576459999999	657.542836	643.55515	0	0	29.553134999999997	95469.928648	0	0	0.030982	2.9397159999999998	319.21826899999996	6.613433
D18-1921.chm13	736.880016	733.0329419999999	718.045274	0	0	38.652556	106653.06976	0	0	0.025613999999999998	3.514783	356.164598	6.83709
D18-1921.grch38	738.31547	724.3329299999999	708.3741739999999	0	0	31.343017999999997	105191.85230099999	0	0	0.041564	3.500009	351.33500399999997	7.331452
D19-0714.chm13	732.6998199999999	728.45931	715.292836	0	0	37.267811	105893.110187	0	0	0.021876	2.8578539999999997	354.531203	6.840598
D19-0714.grch38	734.67323	721.554126	707.0146159999999	0	0	30.576718999999997	104650.00411499999	0	0	0.037147	2.8657969999999997	350.39185499999996	7.519411
D19-0823.chm13	769.2204459999999	764.596282	751.5003939999999	0	0	41.110661	111861.82651999999	0	0	0.019292	5.044306	375.43395999999996	1.819875
D19-0823.grch38	770.333758	755.298012	740.464972	0	0	32.870613999999996	110232.634225	0	0	0.026264	5.014542	370.07786899999996	2.5565949999999997
D19-0824.chm13	770.21241	765.670722	751.3712519999999	0	0	36.023827	111799.092441	0	0	0.024109	5.535856	375.457763	1.841742
