sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D09-468,Linear,T2T-CHM13,0.0006437,0.0569895,0.9993563,0.9423668,0.0569895,0.9954442,0.0001462,0.0047855
D12-880,Linear,T2T-CHM13,0.0001914,0.0589993,0.9998087,0.9408094,0.0589993,0.9909738,0.0003014,0.0083242
D12-881,Linear,T2T-CHM13,0.0001942,0.0604578,0.9998058,0.9393479,0.0604578,0.9922171,0.0002809,0.0071302
D12-928,Linear,T2T-CHM13,0.0013781,0.0633449,0.9986219,0.9352770,0.0633449,0.9886634,0.0004154,0.0088653
D13-708,Linear,T2T-CHM13,0.0012200,0.0606568,0.9987800,0.9381232,0.0606568,0.9933160,0.0001837,0.0068251
D13-944,Linear,T2T-CHM13,0.0008248,0.0572236,0.9991752,0.9419517,0.0572236,0.9952887,0.0001510,0.0061652
D14-0589,Linear,T2T-CHM13,0.0001922,0.0583062,0.9998078,0.9415016,0.0583062,0.9904695,0.0004047,0.0089917
D15-0055,Linear,T2T-CHM13,0.0004957,0.0542749,0.9995043,0.9452295,0.0542749,0.9950973,0.0001351,0.0038438
D15-1048,Linear,T2T-CHM13,0.0010974,0.0589170,0.9989026,0.9399856,0.0589170,0.9934318,0.0002107,0.0037882
D15-1050,Linear,T2T-CHM13,0.0016155,0.0555902,0.9983845,0.9427943,0.0555902,0.9931612,0.0001687,0.0049604
D15-1762,Linear,T2T-CHM13,0.0007445,0.0614292,0.9992555,0.9378263,0.0614292,0.9946806,0.0002802,0.0052121
D15-1768,Linear,T2T-CHM13,0.0007582,0.0555719,0.9992418,0.9436699,0.0555719,0.9946232,0.0003314,0.0050827
D16-0208,Linear,T2T-CHM13,0.0008950,0.0583210,0.9991050,0.9407840,0.0583210,0.9946802,0.0002362,0.0068250
D16-0298,Linear,T2T-CHM13,0.0014531,0.0542978,0.9985469,0.9442491,0.0542978,0.9931698,0.0001555,0.0074237
D17-0918,Linear,T2T-CHM13,0.0009743,0.0681633,0.9990257,0.9308625,0.0681633,0.9939481,0.0002825,0.0066866
D18-0051,Linear,T2T-CHM13,0.0010396,0.0645514,0.9989604,0.9344090,0.0645514,0.9932514,0.0002066,0.0061848
D18-0870,Linear,T2T-CHM13,0.0010721,0.0647071,0.9989279,0.9342208,0.0647071,0.9926865,0.0002905,0.0064297
D18-1122,Linear,T2T-CHM13,0.0010542,0.0639177,0.9989458,0.9350281,0.0639177,0.9938869,0.0001953,0.0079624
D18-1921,Linear,T2T-CHM13,0.0012195,0.0601649,0.9987805,0.9386156,0.0601649,0.9933694,0.0002207,0.0078375
D19-0714,Linear,T2T-CHM13,0.0009501,0.0605523,0.9990499,0.9384975,0.0605523,0.9942741,0.0001990,0.0074036
D19-0823,Linear,T2T-CHM13,0.0007516,0.0657552,0.9992484,0.9334932,0.0657552,0.9944322,0.0001976,0.0044163
D19-0824,Linear,T2T-CHM13,0.0007515,0.0570953,0.9992485,0.9421531,0.0570953,0.9949093,0.0001760,0.0049852
D19-0825,Linear,T2T-CHM13,0.0007496,0.0636677,0.9992505,0.9355828,0.0636677,0.9949695,0.0001803,0.0051020
D19-1647,Linear,T2T-CHM13,0.0015750,0.0577338,0.9984250,0.9406912,0.0577338,0.9926453,0.0002957,0.0054078
D19-1648,Linear,T2T-CHM13,0.0016549,0.0619400,0.9983451,0.9364050,0.0619400,0.9924373,0.0002482,0.0052703
D19-1649,Linear,T2T-CHM13,0.0017790,0.0600136,0.9982210,0.9382075,0.0600136,0.9923803,0.0003081,0.0055451
