Category	Mapped (with MQ>0)	MQ0	Unmapped
D09-468	1165405059	51951657	629818
D12-880	535145558	23753623	25255
D12-881	617436072	29267441	34261
D12-928	583997735	28669041	762056
D13-708	725331999	33486708	837829
D13-944	622615463	27348800	454071
D14-0589	626524868	27906774	27174
D15-0055	1030924536	44780512	372978
D15-1048	928460730	43928662	933266
D15-1050	966408922	42060286	1491898
D15-1762	901820288	42306536	588778
D15-1768	1231800331	53176311	817158
D16-0208	905932179	40888172	721461
D16-0298	825738540	35810621	1158455
D17-0918	857958431	43460151	768970
D18-0051	697123333	35789273	666954
D18-0870	734081190	37042894	735100
D18-1122	618659994	30356344	608958
D18-1921	682826494	32517274	792850
D19-0714	678446004	32008728	584618
D19-0823	716546302	36808140	479112
D19-0824	716443409	32445207	466438
D19-0825	973086279	47962216	648493
D19-1647	778672497	34857467	1191242
D19-1648	842773978	39910609	1360441
D19-1649	822170454	39030222	1448402
D20-0414	658220055	29678453	413466
D20-0418	837438132	39254090	534708
D20-0819	1103635309	52414428	631523
D20-1019	621514052	29185884	1027040
D20-1040	715282602	37018899	1187197
D21-0013	774147675	37276145	693292
D21-0023	790113979	39447279	82680624
D21-0024	745586383	33867359	35305684
D21-0068	748527019	37077963	532294
D21-0069	967014342	42075319	478169
D21-0074	769134686	36592258	1199756
D21-0075	703072023	36056582	772159
D21-0076	1106870311	50226874	1391853
D21-0077	693511046	32074771	894295
D21-0078	875341009	42868993	1114796
D21-0079	882676397	40095869	1181366
D21-0083	680673429	31904659	638454
D21-0084	729749025	35093295	760684
D21-0085	813855147	38971582	716069
D21-0091	625879358	29516650	555688
D22-0006	886283241	44238562	957813
D22-0007	781060193	22176272	479667
D22-0008	824885478	37100707	762577
D22-0015	890274980	45208178	756160
D22-0017	788845325	40467693	691676
D22-0018	884070877	40547141	1777652
D22-0049	651810855	31195957	143281836
D22-0050	644817085	32405943	579040
D22-0056	708427735	34874842	761081
D22-0060	676731579	32117276	666949
D22-0074	733369905	32593457	781314
D22-0075	694281171	33513281	676408
D22-0080	709771433	32431425	691480
D22-0081	817764011	40198929	728986
D22-0082	790209935	37854048	693033
D22-0088	791020415	38460943	963608
D22-0089	868903127	43025888	882121
D22-0109	917123135	42578457	849342
D22-0110	862347336	41036746	897750
D22-0119	896819979	43826624	990493
D22-0159	866595549	38512311	852974
D22-0161	814069040	38135061	735469
D22-0162	848102464	37575762	733278
D22-0170	723560954	31289514	471258
D23-0058	982597838	49210539	818989
D23-0059	896021304	45386007	726421
D23-0060	915407834	40213103	628107
DGS-20-210	889837178	42676230	507604
