sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D09-468,Linear,T2T-CHM13,0.00064371,0.05698947,0.99935629,0.94236682,0.05698947,0.99544416,0.00014622,0.00478551
D12-880,Linear,T2T-CHM13,0.00019135,0.05899929,0.99980865,0.94080937,0.05899929,0.99097378,0.00030135,0.00832417
D12-881,Linear,T2T-CHM13,0.00019423,0.06045784,0.99980577,0.93934793,0.06045784,0.99221714,0.00028094,0.00713024
D12-928,Linear,T2T-CHM13,0.00137809,0.06334492,0.99862191,0.93527699,0.06334492,0.98866342,0.00041544,0.00886527
D13-708,Linear,T2T-CHM13,0.00121996,0.06065679,0.99878004,0.93812324,0.06065679,0.99331603,0.00018374,0.00682510
D13-944,Linear,T2T-CHM13,0.00082476,0.05722355,0.99917524,0.94195169,0.05722355,0.99528868,0.00015097,0.00616515
D14-0589,Linear,T2T-CHM13,0.00019220,0.05830616,0.99980780,0.94150163,0.05830616,0.99046954,0.00040466,0.00899168
D15-0055,Linear,T2T-CHM13,0.00049567,0.05427488,0.99950433,0.94522945,0.05427488,0.99509726,0.00013513,0.00384378
D15-1048,Linear,T2T-CHM13,0.00109737,0.05891703,0.99890263,0.93998560,0.05891703,0.99343175,0.00021065,0.00378820
D15-1050,Linear,T2T-CHM13,0.00161547,0.05559024,0.99838453,0.94279429,0.05559024,0.99316117,0.00016872,0.00496043
D15-1762,Linear,T2T-CHM13,0.00074452,0.06142919,0.99925548,0.93782629,0.06142919,0.99468063,0.00028022,0.00521206
D15-1768,Linear,T2T-CHM13,0.00075817,0.05557189,0.99924183,0.94366994,0.05557189,0.99462317,0.00033143,0.00508269
D16-0208,Linear,T2T-CHM13,0.00089497,0.05832102,0.99910503,0.94078401,0.05832102,0.99468019,0.00023624,0.00682498
D16-0298,Linear,T2T-CHM13,0.00145311,0.05429777,0.99854689,0.94424912,0.05429777,0.99316984,0.00015554,0.00742373
D17-0918,Linear,T2T-CHM13,0.00097427,0.06816326,0.99902573,0.93086247,0.06816326,0.99394805,0.00028248,0.00668656
D18-0051,Linear,T2T-CHM13,0.00103964,0.06455142,0.99896036,0.93440895,0.06455142,0.99325141,0.00020661,0.00618482
D18-0870,Linear,T2T-CHM13,0.00107208,0.06470713,0.99892792,0.93422080,0.06470713,0.99268654,0.00029048,0.00642973
D18-1122,Linear,T2T-CHM13,0.00105419,0.06391772,0.99894581,0.93502809,0.06391772,0.99388685,0.00019534,0.00796244
D18-1921,Linear,T2T-CHM13,0.00121952,0.06016487,0.99878048,0.93861561,0.06016487,0.99336940,0.00022067,0.00783750
D19-0714,Linear,T2T-CHM13,0.00095013,0.06055233,0.99904987,0.93849754,0.06055233,0.99427410,0.00019901,0.00740356
D19-0823,Linear,T2T-CHM13,0.00075156,0.06575519,0.99924844,0.93349324,0.06575519,0.99443222,0.00019758,0.00441627
D19-0824,Linear,T2T-CHM13,0.00075153,0.05709534,0.99924847,0.94215313,0.05709534,0.99490931,0.00017598,0.00498516
D19-0825,Linear,T2T-CHM13,0.00074955,0.06366769,0.99925045,0.93558276,0.06366769,0.99496947,0.00018025,0.00510203
D19-1647,Linear,T2T-CHM13,0.00157496,0.05773384,0.99842504,0.94069119,0.05773384,0.99264534,0.00029571,0.00540777
D19-1648,Linear,T2T-CHM13,0.00165493,0.06194004,0.99834507,0.93640503,0.06194004,0.99243727,0.00024824,0.00527028
D19-1649,Linear,T2T-CHM13,0.00177900,0.06001356,0.99822100,0.93820745,0.06001356,0.99238028,0.00030809,0.00554513
D20-0414,Linear,T2T-CHM13,0.00071019,0.05647054,0.99928981,0.94281927,0.05647054,0.98973495,0.00022349,0.00460107
D20-0418,Linear,T2T-CHM13,0.00072389,0.05905375,0.99927611,0.94022236,0.05905375,0.99093654,0.00027633,0.00467970
D20-0819,Linear,T2T-CHM13,0.00068636,0.06153008,0.99931364,0.93778356,0.06153008,0.99483557,0.00028237,0.00501891
D20-1019,Linear,T2T-CHM13,0.00169273,0.06019781,0.99830727,0.93810946,0.06019781,0.99093284,0.00029406,0.00732022
D20-1040,Linear,T2T-CHM13,0.00167717,0.06585805,0.99832283,0.93246478,0.06585805,0.99083999,0.00026477,0.00685025
D21-0013,Linear,T2T-CHM13,0.00098773,0.06068028,0.99901227,0.93833199,0.06068028,0.99329781,0.00025009,0.00619380
D21-0023,Linear,T2T-CHM13,0.09070975,0.05732178,0.90929025,0.85196847,0.05732178,0.90414500,0.00024199,0.00549596
D21-0024,Linear,T2T-CHM13,0.04343174,0.05446245,0.95656826,0.90210581,0.05446245,0.95145361,0.00026002,0.00582956
D21-0068,Linear,T2T-CHM13,0.00080235,0.06266903,0.99919765,0.93652861,0.06266903,0.99473785,0.00020040,0.00506653
D21-0069,Linear,T2T-CHM13,0.00059540,0.05594874,0.99940460,0.94345586,0.05594874,0.99514404,0.00020566,0.00468066
D21-0074,Linear,T2T-CHM13,0.00159582,0.06097038,0.99840418,0.93743379,0.06097038,0.99192119,0.00019846,0.00682652
D21-0075,Linear,T2T-CHM13,0.00115613,0.06566193,0.99884387,0.93318194,0.06566193,0.99285756,0.00024658,0.00647239
D21-0076,Linear,T2T-CHM13,0.00131530,0.05703107,0.99868470,0.94165363,0.05703107,0.99254846,0.00026117,0.00670852
D21-0077,Linear,T2T-CHM13,0.00134016,0.05904604,0.99865984,0.93961380,0.05904604,0.99259336,0.00026554,0.00697608
D21-0078,Linear,T2T-CHM13,0.00133148,0.06381825,0.99866852,0.93485027,0.06381825,0.99310311,0.00019892,0.00633416
D21-0079,Linear,T2T-CHM13,0.00138362,0.05783944,0.99861638,0.94077693,0.05783944,0.99269156,0.00027329,0.00684557
D21-0083,Linear,T2T-CHM13,0.00102013,0.06057291,0.99897987,0.93840695,0.06057291,0.99327003,0.00023599,0.00663222
D21-0084,Linear,T2T-CHM13,0.00110795,0.06277870,0.99889205,0.93611335,0.06277870,0.99240597,0.00027501,0.00672384
D21-0085,Linear,T2T-CHM13,0.00095760,0.06215707,0.99904240,0.93688533,0.06215707,0.99473052,0.00014359,0.00643188
D21-0091,Linear,T2T-CHM13,0.00117946,0.06178238,0.99882054,0.93703816,0.06178238,0.99350819,0.00021056,0.00578070
D22-0006,Linear,T2T-CHM13,0.00114809,0.06222639,0.99885191,0.93662552,0.06222639,0.99449343,0.00018909,0.00608008
D22-0007,Linear,T2T-CHM13,0.00073098,0.03470082,0.99926902,0.96456821,0.03470082,0.99427356,0.00036849,0.00593335
D22-0008,Linear,T2T-CHM13,0.00102042,0.05789515,0.99897958,0.94108443,0.05789515,0.99423980,0.00025265,0.00752514
D22-0015,Linear,T2T-CHM13,0.00091129,0.06415378,0.99908871,0.93493494,0.06415378,0.99529191,0.00017952,0.00539724
D22-0017,Linear,T2T-CHM13,0.00092072,0.06547685,0.99907928,0.93360243,0.06547685,0.99508374,0.00017590,0.00504341
D22-0018,Linear,T2T-CHM13,0.00202180,0.05799904,0.99797820,0.93997916,0.05799904,0.99422725,0.00019228,0.00531111
D22-0049,Linear,T2T-CHM13,0.17350094,0.04982221,0.82649906,0.77667685,0.04982221,0.82123417,0.00021021,0.00574856
D22-0050,Linear,T2T-CHM13,0.00097103,0.06493824,0.99902897,0.93409074,0.06493824,0.99343710,0.00024161,0.00623790
