Category	Mapped (with MQ>0)	MQ0	Unmapped
D09-468	1147790094	69412410	784030
D12-880	520513099	32642002	105865
D12-881	600267485	38634114	124119
D12-928	563815114	38186360	830758
D13-708	712651453	46078330	926753
D13-944	612662651	37219247	536436
D14-0589	607745886	37637037	124069
D15-0055	1017140638	58404009	533379
D15-1048	914909285	57345277	1068096
D15-1050	952185565	56143983	1631558
D15-1762	885979130	58033111	703361
D15-1768	1213364955	71453993	974852
D16-0208	891432184	55261607	848021
D16-0298	814610905	46843104	1253607
D17-0918	839812532	61496043	878977
D18-0051	685463304	47353599	762657
D18-0870	721086904	49944789	827491
D18-1122	607417898	41522568	684830
D18-1921	672177009	43086266	873343
D19-0714	667308681	43055089	675580
D19-0823	703698530	49568471	566553
D19-0824	706007209	42784682	563163
D19-0825	955882088	65049087	765813
D19-1647	766401063	47036987	1283156
D19-1648	827824211	54757784	1463033
D19-1649	809343791	51770638	1534649
D20-0414	648953792	38869352	488830
D20-0418	824788370	51803544	635016
D20-0819	1084716672	71170689	793899
D20-1019	611391244	39232534	1103198
D20-1040	702601675	49623296	1263727
D21-0013	762035464	49279492	802156
D21-0023	777201318	52291327	82749237
D21-0024	734999209	44373794	35386423
D21-0068	736240052	49266463	630761
D21-0069	952482686	56484052	601092
D21-0074	756440357	49198630	1287713
D21-0075	690462027	48583313	855424
D21-0076	1090895405	66069875	1523758
D21-0077	682610737	42895772	973603
D21-0078	859431033	58669700	1224065
D21-0079	869234263	53440964	1278405
D21-0083	669287362	43201604	727576
D21-0084	716691194	48063560	848250
D21-0085	799671726	53053722	817350
D21-0091	1126925089	74302326	1418471
D22-0006	872447579	57962613	1069424
D22-0007	775239029	27889606	587497
D22-0008	811919429	49948966	880367
D22-0015	875322849	60063287	853182
D22-0017	774894399	54346094	764201
D22-0018	870792621	53730062	1872987
D22-0049	641759264	41167530	143361854
D22-0050	633128634	44015271	658163
D22-0056	697685739	45518701	859218
D22-0060	666468317	42282121	765366
D22-0074	722442623	43413621	888432
D22-0075	683304682	44402721	763457
D22-0080	699565964	42543599	784775
D22-0081	802971097	54872112	848717
D22-0082	777391312	50563745	801959
D22-0088	777774102	51591628	1079236
D22-0089	854691826	57128366	990944
D22-0109	901757294	57831432	962208
D22-0110	847189300	56091834	1000698
D22-0119	881323279	59208301	1105516
D22-0159	852400139	52585933	974762
D22-0161	798866448	53223083	850039
D22-0162	834576625	50983433	851446
D22-0170	714159155	40597053	565518
D23-0058	964380968	67302982	943416
D23-0059	879747340	61549293	837099
D23-0060	900184907	55314238	749899
DGS-20-210	875782508	56621559	616945
