#:GATKReport.v1.1:1
#:GATKTable:32:19:%s:%s:%s:%s:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:;
#:GATKTable:MendelianViolationEvaluator:Mendelian Violation Evaluator
MendelianViolationEvaluator  CompFeatureInput  EvalFeatureInput  Family  nVariants  nSkipped  nFamCalled  nVarFamCalled  nLowQual   nNoCall  nLociViolations  nViolations  mvRefRef_Var  mvRefRef_Het  mvRefHet_Var  mvRefVar_Var  mvRefVar_Ref  mvVarHet_Ref  mvVarVar_Ref  mvVarVar_Het  HomRefHomRef_HomRef  HetHet_Het  HetHet_HomRef  HetHet_HomVar  HomVarHomVar_HomVar  HomRefHomVAR_Het  HetHet_inheritedRef  HetHet_inheritedVar  HomRefHet_inheritedRef  HomRefHet_inheritedVar  HomVarHet_inheritedRef  HomVarHet_inheritedVar
MendelianViolationEvaluator  none              eval              10105     5724722    145339      974019         974019    4750703        0             1022         1022             1             8            33           365           582            31             2             0                    0       20864          16432          16430               552953             53055                53728                53724                  148478                   72524                   30070                   62191
MendelianViolationEvaluator  none              eval              11123     6009051    139879     2093464        2093464    3915587        0            17547        17547             2            31          5435          3990          5402          2685             2             0                    0      109062          71056          79059               518418            157484               251174               267180                  445820                  309245                  144004                  241764
MendelianViolationEvaluator  none              eval              11308     5788765    128605     1702911        1702911    4085854        0            20182        20182             3            70          3215          4932         10454          1505             2             0                    0       54642          33291          35515               509251            211112               121224               125672                  336407                  258418                   98968                  145125
MendelianViolationEvaluator  none              eval              15043     6461570     51616     6700857        6346637   12281015   402838           436609       438591            59        138103         58058         61795         63722         40057            46         76749               354220      385388         195637         233262              1415557            432827               776662               851912                 1136675                  905105                  501666                  701905
MendelianViolationEvaluator  none              eval              16337     5825634    124525     2033150        2033150    3792484        0            15664        15664             0            26          4009          3140          5764          2724             1             0                    0      102625          51807          69022               513928            182890               206239               240669                  387809                  331235                  155561                  222602
MendelianViolationEvaluator  none              eval              16566     5813956    139552      574626         574626    5239330        0              279          279             2             2             0            99           173             1             2             0                    0        2150           1658           1609               504184             11544                 5466                 5368                   27102                   10353                    4013                   11733
MendelianViolationEvaluator  none              eval              17959     5786689    122995      568209         568209    5218480        0              352          352             1             5             3           136           203             3             1             0                    0        2664           1801           1612               503758              9437                 6266                 5888                   23642                   11568                    4057                    9318
MendelianViolationEvaluator  none              eval              19992     5784415    141284     2097450        2097450    3686965        0              481          481             1            52            68           166           155            38             1             0                    0      131392          59841          83602               515738            187167               251074               298596                  348053                  345806                  173963                  251403
MendelianViolationEvaluator  none              eval              19997     6029072    151155     2191441        2191441    3837631        0            22126        22126             2            50          4812          8547          6573          2136             5             1                    0      102875          55429          67191               525411            242928               213733               237257                  435482                  342251                  157841                  239900
MendelianViolationEvaluator  none              eval              20003           0   4341154           0              0          0        0                0            0             0             0             0             0             0             0             0             0                    0           0              0              0                    0                 0                    0                    0                       0                       0                       0                       0
MendelianViolationEvaluator  none              eval              2357      5809180    149252     2136711        2136711    3672469        0            11225        11225             2            31          3308          3008          3497          1378             1             0                    0      138607          62785          89816               524707            178246               264177               318239                  352275                  344963                  180572                  253508
MendelianViolationEvaluator  none              eval              6188      5798535    140708     1917723        1917723    3880812        0             1388         1388             1            31           225           303           708           115             5             0                    0       76011          73726          68702               513006            125106               223463               213415                  498500                  233558                  104212                  223510
MendelianViolationEvaluator  none              eval              6815      5759928    144500      516875         516875    5243053        0              224          224             8             4             4            76           126             5             1             0                    0        1543           1058           1065               468298              8399                 3659                 3673                   18323                    7471                    2738                    7756
MendelianViolationEvaluator  none              eval              8037      5841282     92260      847345         846901   10582005   253214              814          817             1             1             2           417           394             2             0             0                  444        1433            881           1087               815120              3993                 3195                 3607                   10466                    4556                    2262                    6286
MendelianViolationEvaluator  none              eval              8600      5900074    169256      493507         493507    5406567        0              266          266             2             4             5           102           141             3             9             0                    0        1041           1610            946               449016              3781                 4261                 2933                   24273                    3700                    1466                    7408
MendelianViolationEvaluator  none              eval              8718      5917294     69871     4239892        4238466    7404868   189828              580          613             3            62           119           172           219            37             1             0                 1426      261831         118237         171750              1046073            388732               498305               605331                  680963                  709437                  363669                  497157
MendelianViolationEvaluator  none              eval              9009      5815234    144961     2076141        2076141    3739093        0              419          419             0            36           112           103           151            16             0             0                    0      144507          60779          94946               508890            167812               266065               334399                  325807                  337992                  185743                  249242
MendelianViolationEvaluator  none              eval              9885      5810624    149070     2255937        2255937    3554687        0            23999        23999             1            32          6386          5029          9327          3220             4             0                    0      117964          77886          81102               531143            177251               273736               280168                  507085                  352627                  154950                  231927
MendelianViolationEvaluator  none              eval              all      14516536       521   108516249       32591158  189369381  6961626           516140       549161            86        136480         84964         91641        106529         53337            83         76030             75925091     1616648         865537        1081237             10322946           2508360              3347722              3779122                 5597665                 4492541                 2232050                 3324738

