#:GATKReport.v1.1:1
#:GATKTable:32:19:%s:%s:%s:%s:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:%d:;
#:GATKTable:MendelianViolationEvaluator:Mendelian Violation Evaluator
MendelianViolationEvaluator  CompFeatureInput  EvalFeatureInput  Family  nVariants  nSkipped  nFamCalled  nVarFamCalled  nLowQual   nNoCall  nLociViolations  nViolations  mvRefRef_Var  mvRefRef_Het  mvRefHet_Var  mvRefVar_Var  mvRefVar_Ref  mvVarHet_Ref  mvVarVar_Ref  mvVarVar_Het  HomRefHomRef_HomRef  HetHet_Het  HetHet_HomRef  HetHet_HomVar  HomVarHomVar_HomVar  HomRefHomVAR_Het  HetHet_inheritedRef  HetHet_inheritedVar  HomRefHet_inheritedRef  HomRefHet_inheritedVar  HomVarHet_inheritedRef  HomVarHet_inheritedVar
MendelianViolationEvaluator  none              eval              10105     5947229    133406     1286350        1286350    4660879        0              790          790             4             8            36           268           442            28             4             0                    0       21321          16194          16837               860864             53687                53709                54995                  145947                   71484                   32741                   66485
MendelianViolationEvaluator  none              eval              11123     6182123    126815     2368985        2368985    3813138        0            17597        17597             3            23          5408          4220          5251          2688             4             0                    0      108367          69139          80799               785714            158672               246645               269965                  440081                  305247                  150137                  253223
MendelianViolationEvaluator  none              eval              11308     5998372    120869     1986244        1986244    4012128        0            20375        20375             6            64          3239          5472         10065          1525             3             0                    0       54611          31765          37215               791135            210763               118141               129041                  329267                  255329                  100918                  154864
MendelianViolationEvaluator  none              eval              15043     6590129     52909     7578329        7224921   11861696   330362           437036       439160            59        138267         56569         61708         63182         41795            46         77533               353408      382963         197413         229588              2280511            432343               777789               842139                 1123438                  884910                  526079                  728500
MendelianViolationEvaluator  none              eval              16337     6043612    118303     2337867        2337867    3705745        0            15933        15933             4            26          4032          3921          5157          2793             0             0                    0      102248          50954          70985               814601            182526               204156               244218                  381392                  327023                  158437                  233763
MendelianViolationEvaluator  none              eval              16566     6018837    121897      841013         841013    5177824        0              286          286             2             1             1           120           159             1             2             0                    0        2247           1668           1665               767913             11918                 5583                 5577                   27251                   10228                    4672                   13164
MendelianViolationEvaluator  none              eval              17959     5994779    107909      850902         850902    5143877        0              252          252             0             3             1           138           108             1             1             0                    0        2667           1785           1679               785674              9764                 6237                 6025                   23338                   11157                    4442                   10144
MendelianViolationEvaluator  none              eval              19992     5990561    129756     2394402        2394402    3596159        0              367          367             4            48            54           106           117            33             5             0                    0      130880          59802          83793               806670            187894               250484               298466                  346878                  339679                  181604                  256830
MendelianViolationEvaluator  none              eval              19997     6186816    135938     2449555        2449555    3737261        0            21610        21610             2            45          4670          7104          7501          2282             6             0                    0      102317          55722          66535               779738            242413               213761               235387                  427649                  335584                  165428                  252553
MendelianViolationEvaluator  none              eval              20003           0   4638716           0              0          0        0                0            0             0             0             0             0             0             0             0             0                    0           0              0              0                    0                 0                    0                    0                       0                       0                       0                       0
MendelianViolationEvaluator  none              eval              2357      5985515    128172     2419002        2419002    3566513        0            11193        11193             3            20          2691          3030          3515          1932             1             1                    0      138034          65481          85636               801420            179060               268996               309306                  349684                  337275                  190387                  260824
MendelianViolationEvaluator  none              eval              6188      5999994    123361     2213693        2213693    3786301        0              913          913             1            33           206           207           342           119             5             0                    0       76004          72586          68961               807642            125860               221176               213926                  495432                  227415                  111731                  227149
MendelianViolationEvaluator  none              eval              6815      5963780    129385      773810         773810    5189970        0              266          266             7             8             3           109           133             4             2             0                    0        1679           1082           1075               723092              8709                 3843                 3829                   18814                    7518                    3144                    8431
MendelianViolationEvaluator  none              eval              8037      6048908     90492     1359262        1358774   10513851   224703             1345         1352             0             1            10           691           645             4             1             0                  488        3142           1697           2235              1298226              7968                 6536                 7612                   17114                    8692                    5515                   12832
MendelianViolationEvaluator  none              eval              8600      6052091    150236      709214         709214    5342877        0              296          296             5             3             9           136           116             2            25             0                    0        1014           1774            892               663169              4032                 4562                 2798                   24435                    3786                    1769                    8047
MendelianViolationEvaluator  none              eval              8718      6085559     64742     4828564        4827186    7181718   160836              637          709             9            53           125           153           303            62             4             0                 1378      259620         117625         172224              1621784            390085               494870               604068                  670535                  698306                  376580                  519713
MendelianViolationEvaluator  none              eval              9009      6000257    126126     2378365        2378365    3621892        0              312          312             2            27            57            94           109            20             3             0                    0      144079          63527          90057               800680            168567               271133               324193                  319811                  330889                  194962                  265474
MendelianViolationEvaluator  none              eval              9885      6011200    127835     2555016        2555016    3456184        0            24307        24307             4            39          6097          6340          8099          3726             2             0                    0      117722          78354          80473               825311            178434               274430               278668                  494528                  346398                  161976                  247508
MendelianViolationEvaluator  none              eval              all      13972081      1550   112636621       38464281  174992887  5784193           515983       550148           111        136788         82454         93111        104285         56438           112         76839             74172340     1613210         869146        1075968             16065445           2520675              3351502              3765146                 5534587                 4419571                 2335600                 3479677

