Ref,Type,FamID,nVariants,nFamCalled,nLowQual,nLociViolations,nViolations,Denovo,Rate
CHM13,HPRC,10105,5803548,898840,4904708,822,822,16,0.00091451
CHM13,HPRC,11123,6073191,1959619,4113572,16288,16288,18,0.00831182
CHM13,HPRC,11308,5849254,1282987,4566267,17880,17880,60,0.01393623
CHM13,HPRC,16337,5890039,1697453,4192586,14459,14459,29,0.00851806
CHM13,HPRC,16566,5885717,525302,5360415,243,243,1,0.00046259
CHM13,HPRC,17959,5863693,543605,5320088,253,253,4,0.00046541
CHM13,HPRC,19992,5835547,1796123,4039424,402,402,32,0.00022382
CHM13,HPRC,19997,6097086,1808473,4288613,19891,19891,43,0.01099878
CHM13,HPRC,2357,5854420,1894711,3959709,10338,10338,26,0.00545624
CHM13,HPRC,6188,5859704,1554565,4305139,1130,1130,25,0.00072689
CHM13,HPRC,6815,5837827,451467,5386360,173,173,3,0.0003832
CHM13,HPRC,8037,5985140,840586,10867604,2058,2077,2,0.0024709
CHM13,HPRC,8600,5950978,425587,5525391,177,177,0,0.0004159
CHM13,HPRC,8718,5983108,3789096,7973276,510,558,46,0.00014726
CHM13,HPRC,9009,5867393,1892734,3974659,323,323,34,0.00017065
CHM13,HPRC,9885,5879759,1924761,3954998,21975,21975,28,0.011417
GRCh38,HPRC,10105,6013318,1203117,4810201,680,680,9,0.0005652
GRCh38,HPRC,11123,6236180,2217986,4018194,16362,16362,19,0.00737696
GRCh38,HPRC,11308,6053829,1544634,4509195,17958,17958,47,0.01162606
GRCh38,HPRC,16337,6099655,1989198,4110457,14794,14794,25,0.00743717
GRCh38,HPRC,16566,6082700,775774,5306926,226,226,1,0.00029132
GRCh38,HPRC,17959,6070289,816285,5254004,204,204,3,0.00024991
GRCh38,HPRC,19992,6045342,2075637,3969705,264,264,22,0.00012719
GRCh38,HPRC,19997,6244542,2048396,4196146,19462,19462,32,0.00950109
GRCh38,HPRC,2357,6037392,2166144,3871248,10318,10318,22,0.0047633
GRCh38,HPRC,6188,6052783,1830432,4222351,753,753,23,0.00041138
GRCh38,HPRC,6815,6028885,684620,5344265,178,178,3,0.00026
GRCh38,HPRC,8037,6154947,1279252,10805001,2053,2066,2,0.00161501
GRCh38,HPRC,8600,6101714,617921,5483793,163,163,0,0.00026379
GRCh38,HPRC,8718,6142583,4351014,7757570,540,601,47,0.00013813
GRCh38,HPRC,9009,6049925,2182660,3867265,224,224,28,0.00010263
GRCh38,HPRC,9885,6068248,2204709,3863539,22053,22053,29,0.01000268
CHM13,Linear,10105,5724722,974019,4750703,1022,1022,8,0.00104926
CHM13,Linear,11123,6009051,2093464,3915587,17547,17547,31,0.0083818
CHM13,Linear,11308,5788765,1702911,4085854,20182,20182,70,0.01185147
CHM13,Linear,16337,5825634,2033150,3792484,15664,15664,26,0.0077043
CHM13,Linear,16566,5813956,574626,5239330,279,279,2,0.00048553
CHM13,Linear,17959,5786689,568209,5218480,352,352,5,0.00061949
CHM13,Linear,19992,5784415,2097450,3686965,481,481,52,0.00022933
CHM13,Linear,19997,6029072,2191441,3837631,22126,22126,50,0.01009655
CHM13,Linear,2357,5809180,2136711,3672469,11225,11225,31,0.0052534
CHM13,Linear,6188,5798535,1917723,3880812,1388,1388,31,0.00072378
CHM13,Linear,6815,5759928,516875,5243053,224,224,4,0.00043337
CHM13,Linear,8037,5841282,847345,10582005,814,817,1,0.00096419
CHM13,Linear,8600,5900074,493507,5406567,266,266,4,0.000539
CHM13,Linear,8718,5917294,4239892,7404868,580,613,62,0.00014458
CHM13,Linear,9009,5815234,2076141,3739093,419,419,36,0.00020182
CHM13,Linear,9885,5810624,2255937,3554687,23999,23999,32,0.01063815
GRCh38,Linear,10105,5947229,1286350,4660879,790,790,8,0.00061414
GRCh38,Linear,11123,6182123,2368985,3813138,17597,17597,23,0.00742808
GRCh38,Linear,11308,5998372,1986244,4012128,20375,20375,64,0.01025805
GRCh38,Linear,16337,6043612,2337867,3705745,15933,15933,26,0.00681519
GRCh38,Linear,16566,6018837,841013,5177824,286,286,1,0.00034007
GRCh38,Linear,17959,5994779,850902,5143877,252,252,3,0.00029616
GRCh38,Linear,19992,5990561,2394402,3596159,367,367,48,0.00015327
GRCh38,Linear,19997,6186816,2449555,3737261,21610,21610,45,0.00882201
GRCh38,Linear,2357,5985515,2419002,3566513,11193,11193,20,0.00462711
GRCh38,Linear,6188,5999994,2213693,3786301,913,913,33,0.00041243
GRCh38,Linear,6815,5963780,773810,5189970,266,266,8,0.00034375
GRCh38,Linear,8037,6048908,1359262,10513851,1345,1352,1,0.00099466
GRCh38,Linear,8600,6052091,709214,5342877,296,296,3,0.00041736
GRCh38,Linear,8718,6085559,4828564,7181718,637,709,53,0.00014683
GRCh38,Linear,9009,6000257,2378365,3621892,312,312,27,0.00013118
GRCh38,Linear,9885,6011200,2555016,3456184,24307,24307,39,0.00951344
