Sample,data,genome,DV_var,DV_SNPs,DV_Indels,ts_tv,Dysgu_SVs,Dysgu_Indels,Dysgu_PASS
D09-468,linear,chm13,6847169,5756925,1095196,0.9,58769,2419,17783
D12-880,linear,chm13,5903929,5057420,850253,1.36,27277,2565,11013
D12-881,linear,chm13,5682161,4690421,995550,1.49,27058,2628,12287
D12-928,linear,chm13,5722869,4845104,881451,1.48,30144,2357,11742
D13-708,linear,chm13,7150074,5916057,1238972,0.87,37992,2056,15439
D13-944,linear,chm13,7482602,6374136,1113453,0.74,28643,1983,14120
D14-0589,linear,chm13,5857187,4956150,904663,1.41,30017,3074,11645
D15-0055,linear,chm13,6797701,5247408,1555908,1.04,55754,2250,17024
D15-1048,linear,chm13,6867250,5322164,1550781,1.01,50069,2316,16905
D15-1050,linear,chm13,6693811,5159910,1539643,1.09,44013,2331,17349
D15-1762,linear,chm13,7098755,6002386,1101098,0.81,51131,2218,17149
D15-1768,linear,chm13,6872430,5778428,1099077,0.91,71990,2527,21187
D16-0208,linear,chm13,6943069,5843609,1104398,0.84,40449,2147,15534
D16-0298,linear,chm13,6830084,5679128,1155996,0.93,48340,2195,16023
D17-0918,linear,chm13,7120667,6020269,1105446,0.8,40760,2076,15364
D18-0051,linear,chm13,7543275,6419222,1128865,0.72,43144,2017,14535
D18-0870,linear,chm13,7655326,6525831,1134506,0.73,45840,2075,14647
D18-1122,linear,chm13,7612402,6408884,1208352,0.73,34253,1926,14171
D18-1921,linear,chm13,7118187,5905413,1217662,0.84,38255,2006,14778
D19-0714,linear,chm13,7252044,6055726,1201500,0.82,35841,1985,14702
D19-0823,linear,chm13,7227251,6120655,1111220,0.77,38380,2045,15044
D19-0824,linear,chm13,7385246,6258923,1131206,0.78,36741,2011,14919
D19-0825,linear,chm13,6932619,5850877,1086736,0.84,47212,2244,16213
D19-1647,linear,chm13,6919946,5789042,1135854,0.89,38015,2196,16039
D19-1648,linear,chm13,6869012,5747446,1126430,0.9,42433,2232,16417
D19-1649,linear,chm13,6855031,5724255,1135607,0.92,38880,2232,16182
D20-0414,linear,chm13,6482337,5346380,1140825,1.02,45915,2118,15295
D20-0418,linear,chm13,6321274,5195580,1130616,1.08,52226,2316,16432
D20-0819,linear,chm13,6941246,5842878,1103202,0.86,59538,2371,18904
D20-1019,linear,chm13,7683954,6509884,1178818,0.75,36732,1860,13578
D20-1040,linear,chm13,7497793,6349355,1152956,0.76,44985,1986,14248
D21-0013,linear,chm13,7481248,6346368,1139987,0.75,49041,2067,14732
D21-0023,linear,chm13,6996922,5823357,1178734,0.88,41377,2242,15754
D21-0024,linear,chm13,7244698,6040050,1210156,0.89,36704,2190,16042
D21-0068,linear,chm13,7298526,6191436,1111857,0.78,38548,2156,15198
D21-0069,linear,chm13,7065189,5955119,1115156,0.85,51315,2310,16588
D21-0074,linear,chm13,7099369,5911351,1193320,0.88,48421,2135,15627
D21-0075,linear,chm13,7294626,6042186,1257512,0.85,40478,1989,15336
D21-0076,linear,chm13,6625314,5512807,1118152,1.06,76128,2494,18299
D21-0077,linear,chm13,7104950,5877036,1232768,0.85,39884,1953,15005
D21-0078,linear,chm13,6760450,5622403,1142980,0.93,46663,2201,16252
D21-0079,linear,chm13,6760016,5628180,1137055,0.96,46390,2260,16252
D21-0083,linear,chm13,7505822,6381553,1129412,0.76,37893,1911,13959
D21-0084,linear,chm13,7455348,6322303,1138008,0.78,48089,2030,14458
D21-0085,linear,chm13,7160121,6065752,1099345,0.79,37741,2108,15035
D21-0091,linear,chm13,6575298,5501378,1078918,0.97,68216,2471,17511
D22-0006,linear,chm13,6928636,5810003,1123887,0.9,38945,2247,15971
D22-0007,linear,chm13,7041290,5948720,1097092,0.8,63155,1988,20769
D22-0008,linear,chm13,7166081,6063489,1107652,0.79,39048,2032,14872
D22-0015,linear,chm13,6928737,5793588,1140260,0.89,41957,2252,16205
D22-0017,linear,chm13,7150278,5992438,1162761,0.84,36366,2073,15605
D22-0018,linear,chm13,6962378,5809235,1158270,0.91,41764,2273,16347
D22-0049,linear,chm13,7745369,6558747,1191488,0.72,37190,1958,14174
D22-0050,linear,chm13,7751889,6628568,1128188,0.69,37734,1949,14052
D22-0056,linear,chm13,7643859,6495399,1153573,0.74,45403,2061,14809
D22-0060,linear,chm13,7606772,6470953,1140749,0.71,40670,1908,14240
D22-0074,linear,chm13,7529792,6415286,1119708,0.76,38591,1953,14273
D22-0075,linear,chm13,7707068,6600604,1111386,0.69,36057,1907,14048
D22-0080,linear,chm13,7492118,6372593,1124618,0.74,37294,1924,14276
D22-0081,linear,chm13,7487190,6379266,1112985,0.76,47126,2014,14700
D22-0082,linear,chm13,7376169,6262018,1119316,0.77,46451,2081,14593
D22-0088,linear,chm13,7611564,6460171,1156885,0.79,40756,2117,15192
D22-0089,linear,chm13,7163442,6079621,1088783,0.79,42698,2123,14837
D22-0109,linear,chm13,6952857,5868156,1089678,0.84,41584,2147,15782
D22-0110,linear,chm13,7077644,5986913,1095703,0.82,40788,2149,15436
D22-0119,linear,chm13,7451352,6319075,1137989,0.81,46054,2191,15715
D22-0159,linear,chm13,6865016,5767902,1102058,0.88,39545,2182,15259
D22-0161,linear,chm13,7095047,5999085,1100954,0.83,38311,2091,15057
D22-0162,linear,chm13,6988852,5886106,1108036,0.86,38220,2166,15266
D22-0170,linear,chm13,7353522,6233937,1124695,0.76,31985,2023,14545
D23-0058,linear,chm13,7023531,5925787,1102660,0.85,61738,2504,16685
D23-0059,linear,chm13,7187304,6079151,1113242,0.83,56694,2396,15990
D23-0060,linear,chm13,6986878,5883596,1108261,0.85,52013,2356,16036
DGS-20-210,linear,chm13,6322315,5209541,1117648,1.09,53359,2408,16824
D09-468,linear,grch38,7104302,5943230,1166550,0.97,76796,3211,20709
D12-880,linear,grch38,6534562,5608543,930017,1.29,40831,3224,13303
D12-881,linear,grch38,6232139,5140290,1096185,1.48,43095,3455,14786
D12-928,linear,grch38,6617893,5644332,977629,1.26,47147,3166,14379
D13-708,linear,grch38,7387891,6085309,1308022,0.93,52733,2629,18288
D13-944,linear,grch38,7782679,6590797,1197428,0.79,43954,2565,16963
D14-0589,linear,grch38,6475363,5479534,999987,1.37,44960,3873,14008
D15-0055,linear,grch38,7087101,5487058,1606321,1.11,72897,2927,19458
D15-1048,linear,grch38,7094283,5504437,1596080,1.08,67456,2975,19746
D15-1050,linear,grch38,6947084,5371320,1582265,1.16,60759,3042,19878
D15-1762,linear,grch38,7368896,6192022,1182215,0.88,68785,2844,19948
D15-1768,linear,grch38,7046178,5889366,1162426,0.99,89270,3196,24019
D16-0208,linear,grch38,7243455,6065384,1183713,0.92,57404,2793,18208
D16-0298,linear,grch38,7039124,5819544,1225198,0.99,63959,2764,18827
D17-0918,linear,grch38,7376090,6195114,1186497,0.87,57345,2744,18059
D18-0051,linear,grch38,7789689,6586506,1208507,0.79,58703,2622,17147
D18-0870,linear,grch38,7739464,6542810,1202133,0.79,60640,2661,17184
D18-1122,linear,grch38,7869663,6583653,1291630,0.78,48550,2472,16762
D18-1921,linear,grch38,7405837,6108929,1302217,0.91,53689,2531,17775
D19-0714,linear,grch38,7476874,6204322,1278303,0.89,51002,2535,17551
D19-0823,linear,grch38,7581509,6388542,1198165,0.83,55272,2681,18077
D19-0824,linear,grch38,7624838,6424594,1205674,0.83,52317,2604,17847
D19-0825,linear,grch38,7279825,6111578,1173794,0.91,65416,2990,19219
D19-1647,linear,grch38,7148556,5946448,1207622,0.96,54664,2814,18775
D19-1648,linear,grch38,7096351,5907859,1193788,0.96,59627,2922,19091
D19-1649,linear,grch38,7112231,5909631,1207996,0.98,54678,2896,18765
D20-0414,linear,grch38,6772426,5574127,1203524,1.07,61079,2662,17890
D20-0418,linear,grch38,6567243,5382522,1190181,1.15,67689,2897,19224
D20-0819,linear,grch38,7210172,6036810,1178827,0.92,77188,2980,21737
D20-1019,linear,grch38,7796960,6554990,1247143,0.81,50350,2434,16136
