Sample	Vars	SNP	Indel	Ts/Tv
D09-468.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7714703	6503978	1209673	0.85
D09-468.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7840892	6562889	1278174	0.9
D12-880.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8366873	6911017	1449443	1.04
D12-880.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8501019	6955880	1539161	1.1
D12-881.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7425220	5922284	1498317	1.22
D12-881.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7629189	6022503	1602717	1.3
D12-928.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8306725	6728152	1573650	1.05
D12-928.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8447136	6770677	1672183	1.11
D13-708.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7963790	6597510	1365679	0.82
D13-708.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8131204	6690459	1440779	0.87
D13-944.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8193099	6971991	1221013	0.71
D13-944.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8455904	7141069	1315126	0.75
D14-0589.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8453432	6547684	1898364	1.15
D14-0589.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8638324	6614108	2017859	1.21
D15-0055.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7688907	6015534	1673729	0.93
D15-0055.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7924866	6198868	1727099	1
D15-1048.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7745719	6071611	1673701	0.92
D15-1048.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7910338	6190582	1720679	0.98
D15-1050.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7555208	5895811	1659706	0.99
D15-1050.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7720154	6019116	1702273	1.05
D15-1762.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7939845	6715187	1223556	0.77
D15-1762.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8129149	6821044	1308165	0.83
D15-1768.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7743704	6519804	1222976	0.85
D15-1768.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7857352	6573340	1284094	0.91
D16-0208.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7835457	6614488	1220294	0.79
D16-0208.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8013674	6715426	1298459	0.86
D16-0298.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7661262	6375279	1285249	0.87
D16-0298.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7802666	6441256	1361337	0.92
