Sample	genome	Vars	Indel	Ts/Tv
D09-468.chm13	chm13	58769	2419	0
D09-468.grch38	grch38	76796	3211	0
D12-880.chm13	chm13	27277	2565	0
D12-880.grch38	grch38	40831	3224	0
D12-881.chm13	chm13	27058	2628	0
D12-881.grch38	grch38	43095	3455	0
D12-928.chm13	chm13	30144	2357	0
D12-928.grch38	grch38	47147	3166	0
D13-708.chm13	chm13	37992	2056	0
D13-708.grch38	grch38	52733	2629	0
D13-944.chm13	chm13	28643	1983	0
D13-944.grch38	grch38	43954	2565	0
D14-0589.chm13	chm13	30017	3074	0
D14-0589.grch38	grch38	44960	3873	0
D15-0055.chm13	chm13	55754	2250	0
D15-0055.grch38	grch38	72897	2927	0
D15-1048.chm13	chm13	50069	2316	0
D15-1048.grch38	grch38	67456	2975	0
D15-1050.chm13	chm13	44013	2331	0
D15-1050.grch38	grch38	60759	3042	0
D15-1762.chm13	chm13	51131	2218	0
D15-1762.grch38	grch38	68785	2844	0
D15-1768.chm13	chm13	71990	2527	0
D15-1768.grch38	grch38	89270	3196	0
D16-0208.chm13	chm13	40449	2147	0
D16-0208.grch38	grch38	57404	2793	0
D16-0298.chm13	chm13	48340	2195	0
D16-0298.grch38	grch38	63959	2764	0
D17-0918.chm13	chm13	40760	2076	0
D17-0918.grch38	grch38	57345	2744	0
D18-0051.chm13	chm13	43144	2017	0
D18-0051.grch38	grch38	58703	2622	0
D18-0870.chm13	chm13	45840	2075	0
D18-0870.grch38	grch38	60640	2661	0
D18-1122.chm13	chm13	34253	1926	0
D18-1122.grch38	grch38	48550	2472	0
D18-1921.chm13	chm13	38255	2006	0
D18-1921.grch38	grch38	53689	2531	0
D19-0714.chm13	chm13	35841	1985	0
D19-0714.grch38	grch38	51002	2535	0
D19-0823.chm13	chm13	38380	2045	0
D19-0823.grch38	grch38	55272	2681	0
D19-0824.chm13	chm13	36741	2011	0
D19-0824.grch38	grch38	52317	2604	0
D19-0825.chm13	chm13	47212	2244	0
D19-0825.grch38	grch38	65416	2990	0
D19-1647.chm13	chm13	38015	2196	0
D19-1647.grch38	grch38	54664	2814	0
D19-1648.chm13	chm13	42433	2232	0
D19-1648.grch38	grch38	59627	2922	0
D19-1649.chm13	chm13	38880	2232	0
D19-1649.grch38	grch38	54678	2896	0
D20-0414.chm13	chm13	45915	2118	0
D20-0414.grch38	grch38	61079	2662	0
D20-0418.chm13	chm13	52226	2316	0
D20-0418.grch38	grch38	67689	2897	0
D20-0819.chm13	chm13	59538	2371	0
D20-0819.grch38	grch38	77188	2980	0
D20-1019.chm13	chm13	36732	1860	0
D20-1019.grch38	grch38	50350	2434	0
D20-1040.chm13	chm13	44985	1986	0
D20-1040.grch38	grch38	59570	2572	0
D21-0013.chm13	chm13	49041	2067	0
D21-0013.grch38	grch38	65148	2729	0
D21-0023.chm13	chm13	41377	2242	0
D21-0023.grch38	grch38	57085	2807	0
D21-0024.chm13	chm13	36704	2190	0
D21-0024.grch38	grch38	52950	2850	0
D21-0068.chm13	chm13	38548	2156	0
D21-0068.grch38	grch38	54495	2654	0
D21-0069.chm13	chm13	51315	2310	0
D21-0069.grch38	grch38	68497	2944	0
D21-0074.chm13	chm13	48421	2135	0
D21-0074.grch38	grch38	63583	2698	0
D21-0075.chm13	chm13	40478	1989	0
D21-0075.grch38	grch38	55352	2599	0
D21-0076.chm13	chm13	76128	2494	0
D21-0076.grch38	grch38	91009	3120	0
D21-0077.chm13	chm13	39884	1953	0
D21-0077.grch38	grch38	55357	2580	0
D21-0078.chm13	chm13	46663	2201	0
D21-0078.grch38	grch38	63191	2809	0
D21-0079.chm13	chm13	46390	2260	0
D21-0079.grch38	grch38	61977	2894	0
D21-0083.chm13	chm13	37893	1911	0
D21-0083.grch38	grch38	52402	2549	0
D21-0084.chm13	chm13	48089	2030	0
D21-0084.grch38	grch38	62105	2611	0
D21-0085.chm13	chm13	37741	2108	0
D21-0085.grch38	grch38	54410	2806	0
D22-0006.chm13	chm13	38945	2247	0
D22-0006.grch38	grch38	55639	2897	0
D22-0007.chm13	chm13	63155	1988	0
D22-0007.grch38	grch38	77761	2661	0
D22-0008.chm13	chm13	39048	2032	0
D22-0008.grch38	grch38	55333	2733	0
D22-0015.chm13	chm13	41957	2252	0
D22-0015.grch38	grch38	59052	2925	0
D22-0017.chm13	chm13	36366	2073	0
D22-0017.grch38	grch38	52597	2732	0
D22-0018.chm13	chm13	41764	2273	0
D22-0018.grch38	grch38	58730	2954	0
D22-0049.chm13	chm13	37190	1958	0
D22-0049.grch38	grch38	51205	2575	0
D22-0050.chm13	chm13	37734	1949	0
D22-0050.grch38	grch38	52103	2516	0
D22-0056.chm13	chm13	45403	2061	0
D22-0056.grch38	grch38	60361	2749	0
D22-0060.chm13	chm13	40670	1908	0
D22-0060.grch38	grch38	55834	2543	0
D22-0074.chm13	chm13	38591	1953	0
D22-0074.grch38	grch38	52714	2454	0
D22-0075.chm13	chm13	36057	1907	0
D22-0075.grch38	grch38	50824	2455	0
D22-0080.chm13	chm13	37294	1924	0
D22-0080.grch38	grch38	51893	2513	0
D22-0081.chm13	chm13	47126	2014	0
D22-0081.grch38	grch38	61940	2639	0
D22-0082.chm13	chm13	46451	2081	0
D22-0082.grch38	grch38	61663	2617	0
D22-0088.chm13	chm13	40756	2117	0
D22-0088.grch38	grch38	54035	2642	0
D22-0089.chm13	chm13	42698	2123	0
D22-0089.grch38	grch38	58723	2698	0
D22-0109.chm13	chm13	41584	2147	0
