gene	chr	start	end	sample	depth
FRG2	chr4	190024359	190024369	D09-468	58
FRG2	chr4	190024369	190024374	D09-468	57
FRG2	chr4	190024374	190024376	D09-468	59
FRG2	chr4	190024376	190024378	D09-468	60
FRG2	chr4	190024378	190024380	D09-468	56
FRG2	chr4	190024380	190024384	D09-468	55
FRG2	chr4	190024384	190024385	D09-468	54
FRG2	chr4	190024385	190024394	D09-468	53
FRG2	chr4	190024394	190024400	D09-468	55
FRG2	chr4	190024400	190024402	D09-468	54
FRG2	chr4	190024402	190024403	D09-468	56
FRG2	chr4	190024403	190024405	D09-468	51
FRG2	chr4	190024405	190024406	D09-468	64
FRG2	chr4	190024406	190024409	D09-468	67
FRG2	chr4	190024409	190024411	D09-468	66
FRG2	chr4	190024411	190024415	D09-468	65
FRG2	chr4	190024415	190024418	D09-468	63
FRG2	chr4	190024418	190024419	D09-468	65
FRG2	chr4	190024419	190024421	D09-468	63
FRG2	chr4	190024421	190024424	D09-468	61
FRG2	chr4	190024424	190024427	D09-468	62
FRG2	chr4	190024427	190024429	D09-468	63
FRG2	chr4	190024429	190024432	D09-468	64
FRG2	chr4	190024432	190024434	D09-468	63
FRG2	chr4	190024434	190024435	D09-468	62
FRG2	chr4	190024435	190024436	D09-468	69
FRG2	chr4	190024436	190024437	D09-468	68
FRG2	chr4	190024437	190024440	D09-468	67
FRG2	chr4	190024440	190024443	D09-468	69
FRG2	chr4	190024443	190024450	D09-468	68
FRG2	chr4	190024450	190024452	D09-468	69
FRG2	chr4	190024452	190024453	D09-468	68
FRG2	chr4	190024453	190024455	D09-468	67
FRG2	chr4	190024455	190024462	D09-468	62
FRG2	chr4	190024462	190024464	D09-468	60
FRG2	chr4	190024464	190024466	D09-468	62
FRG2	chr4	190024466	190024468	D09-468	60
FRG2	chr4	190024468	190024469	D09-468	58
FRG2	chr4	190024469	190024478	D09-468	59
FRG2	chr4	190024478	190024486	D09-468	58
FRG2	chr4	190024486	190024487	D09-468	57
FRG2	chr4	190024487	190024488	D09-468	64
FRG2	chr4	190024488	190024496	D09-468	63
FRG2	chr4	190024496	190024497	D09-468	60
FRG2	chr4	190024497	190024509	D09-468	58
FRG2	chr4	190024509	190024511	D09-468	57
FRG2	chr4	190024511	190024518	D09-468	58
FRG2	chr4	190024518	190024522	D09-468	60
FRG2	chr4	190024522	190024525	D09-468	61
FRG2	chr4	190024525	190024527	D09-468	59
FRG2	chr4	190024527	190024535	D09-468	58
FRG2	chr4	190024535	190024536	D09-468	59
FRG2	chr4	190024536	190024539	D09-468	60
FRG2	chr4	190024539	190024541	D09-468	61
FRG2	chr4	190024541	190024544	D09-468	65
FRG2	chr4	190024544	190024545	D09-468	66
FRG2	chr4	190024545	190024546	D09-468	64
FRG2	chr4	190024546	190024548	D09-468	74
FRG2	chr4	190024548	190024551	D09-468	76
FRG2	chr4	190024551	190024553	D09-468	78
FRG2	chr4	190024553	190024555	D09-468	74
FRG2	chr4	190024555	190024556	D09-468	63
FRG2	chr4	190024556	190024557	D09-468	62
FRG2	chr4	190024557	190024568	D09-468	60
FRG2	chr4	190024568	190024574	D09-468	58
FRG2	chr4	190024574	190024577	D09-468	57
FRG2	chr4	190024577	190024578	D09-468	61
FRG2	chr4	190024578	190024582	D09-468	56
FRG2	chr4	190024582	190024583	D09-468	62
FRG2	chr4	190024583	190024586	D09-468	61
FRG2	chr4	190024586	190024591	D09-468	54
FRG2	chr4	190024591	190024596	D09-468	52
FRG2	chr4	190024596	190024602	D09-468	50
FRG2	chr4	190024602	190024606	D09-468	49
FRG2	chr4	190024606	190024611	D09-468	52
FRG2	chr4	190024611	190024613	D09-468	51
FRG2	chr4	190024613	190024619	D09-468	49
FRG2	chr4	190024619	190024621	D09-468	47
