gene	chr	start	end	sample	depth
FRG2	chr4	193392569	193392579	D09-468	48
FRG2	chr4	193392579	193392582	D09-468	47
FRG2	chr4	193392582	193392584	D09-468	48
FRG2	chr4	193392584	193392586	D09-468	50
FRG2	chr4	193392586	193392588	D09-468	52
FRG2	chr4	193392588	193392590	D09-468	48
FRG2	chr4	193392590	193392595	D09-468	47
FRG2	chr4	193392595	193392599	D09-468	46
FRG2	chr4	193392599	193392610	D09-468	47
FRG2	chr4	193392610	193392612	D09-468	46
FRG2	chr4	193392612	193392613	D09-468	49
FRG2	chr4	193392613	193392615	D09-468	44
FRG2	chr4	193392615	193392616	D09-468	57
FRG2	chr4	193392616	193392621	D09-468	59
FRG2	chr4	193392621	193392628	D09-468	58
FRG2	chr4	193392628	193392629	D09-468	59
FRG2	chr4	193392629	193392631	D09-468	57
FRG2	chr4	193392631	193392632	D09-468	55
FRG2	chr4	193392632	193392634	D09-468	54
FRG2	chr4	193392634	193392637	D09-468	55
FRG2	chr4	193392637	193392639	D09-468	56
FRG2	chr4	193392639	193392642	D09-468	57
FRG2	chr4	193392642	193392644	D09-468	56
FRG2	chr4	193392644	193392645	D09-468	59
FRG2	chr4	193392645	193392646	D09-468	67
FRG2	chr4	193392646	193392647	D09-468	66
FRG2	chr4	193392647	193392650	D09-468	65
FRG2	chr4	193392650	193392653	D09-468	68
FRG2	chr4	193392653	193392660	D09-468	67
FRG2	chr4	193392660	193392662	D09-468	68
FRG2	chr4	193392662	193392663	D09-468	66
FRG2	chr4	193392663	193392665	D09-468	65
FRG2	chr4	193392665	193392672	D09-468	61
FRG2	chr4	193392672	193392674	D09-468	59
FRG2	chr4	193392674	193392676	D09-468	61
FRG2	chr4	193392676	193392679	D09-468	60
FRG2	chr4	193392679	193392688	D09-468	59
FRG2	chr4	193392688	193392696	D09-468	58
FRG2	chr4	193392696	193392697	D09-468	57
FRG2	chr4	193392697	193392698	D09-468	65
FRG2	chr4	193392698	193392706	D09-468	64
FRG2	chr4	193392706	193392707	D09-468	62
FRG2	chr4	193392707	193392719	D09-468	60
FRG2	chr4	193392719	193392721	D09-468	59
FRG2	chr4	193392721	193392723	D09-468	60
FRG2	chr4	193392723	193392728	D09-468	61
FRG2	chr4	193392728	193392735	D09-468	62
FRG2	chr4	193392735	193392737	D09-468	60
FRG2	chr4	193392737	193392746	D09-468	58
FRG2	chr4	193392746	193392748	D09-468	59
FRG2	chr4	193392748	193392751	D09-468	58
FRG2	chr4	193392751	193392754	D09-468	62
FRG2	chr4	193392754	193392756	D09-468	63
FRG2	chr4	193392756	193392758	D09-468	70
FRG2	chr4	193392758	193392761	D09-468	71
FRG2	chr4	193392761	193392763	D09-468	72
FRG2	chr4	193392763	193392765	D09-468	68
FRG2	chr4	193392765	193392767	D09-468	59
FRG2	chr4	193392767	193392769	D09-468	57
FRG2	chr4	193392769	193392778	D09-468	58
FRG2	chr4	193392778	193392784	D09-468	57
FRG2	chr4	193392784	193392787	D09-468	56
FRG2	chr4	193392787	193392788	D09-468	59
FRG2	chr4	193392788	193392792	D09-468	54
FRG2	chr4	193392792	193392793	D09-468	59
FRG2	chr4	193392793	193392796	D09-468	55
FRG2	chr4	193392796	193392801	D09-468	47
FRG2	chr4	193392801	193392806	D09-468	44
FRG2	chr4	193392806	193392816	D09-468	42
FRG2	chr4	193392816	193392821	D09-468	45
FRG2	chr4	193392821	193392823	D09-468	44
FRG2	chr4	193392823	193392831	D09-468	42
FRG2	chr4	193392831	193392833	D09-468	46
FRG2	chr4	193392833	193392839	D09-468	47
FRG2	chr4	193392839	193392844	D09-468	45
FRG2	chr4	193392844	193392863	D09-468	41
FRG2	chr4	193392863	193392864	D09-468	43
FRG2	chr4	193392864	193392870	D09-468	45
