chr	start	end	size	gene	D09-468	D12-880	D12-881	D12-928	D13-708	D13-944	D14-0589	D15-0055	D15-1048	D15-1050	D15-1762	D15-1768	D16-0208	D16-0298	D17-0918	D18-0051	D18-0870	D18-1122	D18-1921	D19-0714	D19-0823	D19-0824	D19-0825	D19-1647	D19-1648	D19-1649	D20-0414	D20-0418	D20-0819	D20-1019	D20-1040	D21-0013	D21-0023	D21-0024	D21-0068	D21-0069	D21-0074	D21-0075	D21-0076	D21-0077	D21-0078	D21-0079	D21-0083	D21-0084	D21-0085	D21-0091	D22-0006	D22-0007	D22-0008	D22-0015	D22-0017	D22-0018	D22-0049	D22-0050	D22-0056	D22-0060	D22-0074	D22-0075	D22-0080	D22-0081	D22-0082	D22-0088	D22-0089	D22-0109	D22-0110	D22-0119	D22-0159	D22-0161	D22-0162	D22-0170	D23-0058	D23-0059	D23-0060	DGS-20-210
chr1	1020119	1056119	36000	AGRN	52.66	23.64	36.95	28.04	30.97	28.07	26.28	52.01	52.46	49.71	45.21	58.26	29.39	37.05	31.86	29.70	31.47	27.92	31.32	32.30	33.85	31.96	39.40	35.03	38.60	38.31	36.95	46.79	47.44	22.52	25.93	32.61	44.80	37.05	34.63	45.92	34.46	29.38	48.44	32.51	40.25	40.08	25.54	27.39	32.72	24.68	44.25	39.85	28.96	59.95	44.36	57.49	27.71	25.68	29.23	27.73	24.41	25.50	26.29	31.15	31.19	25.16	29.28	38.02	35.78	29.87	29.94	29.78	30.20	32.16	41.39	40.57	37.75	51.90
chr1	1232236	1235041	2805	B3GALT6	62.58	24.90	43.20	31.81	29.67	29.26	29.44	46.79	45.95	44.38	51.28	60.48	33.01	47.64	35.92	34.56	40.51	29.63	36.58	40.80	41.36	32.45	50.85	33.05	45.79	38.85	37.74	47.17	51.92	25.69	26.67	40.29	50.96	43.48	40.20	52.33	36.49	29.12	52.64	37.87	46.45	48.56	30.76	30.33	37.59	26.88	47.67	49.13	32.19	60.26	48.89	58.59	34.75	32.30	35.46	31.21	27.19	29.57	29.59	37.13	35.04	32.39	37.65	41.05	39.47	34.07	34.69	31.20	38.84	32.08	42.38	45.14	45.09	50.42
chr1	1434860	1442882	8022	VWA1	54.15	26.40	41.87	33.04	31.69	30.32	29.41	50.28	50.28	46.32	48.13	61.08	33.84	38.32	33.70	31.56	34.42	30.27	33.07	32.61	37.06	35.57	44.93	38.40	42.40	40.46	35.31	48.00	50.25	24.37	27.99	36.95	48.12	38.85	37.39	49.34	36.48	30.47	50.26	32.76	42.86	42.08	27.93	28.24	36.32	25.53	48.06	41.90	31.33	58.15	47.37	60.22	28.39	31.10	32.16	31.35	25.16	29.00	28.80	32.21	33.63	28.67	34.38	41.72	40.27	32.83	30.83	33.54	32.71	35.16	42.53	42.16	41.47	54.93
chr1	1534777	1540624	5847	TMEM240	50.29	21.39	32.52	25.52	28.90	25.95	24.96	47.80	49.02	48.82	43.00	58.77	28.46	38.02	30.60	29.95	31.96	26.48	31.48	33.25	34.60	29.73	39.55	34.43	41.81	38.27	36.98	45.79	44.81	22.71	28.55	31.99	44.23	37.94	34.52	44.48	33.94	26.52	46.14	31.94	38.57	40.18	23.95	27.65	34.89	23.96	42.15	38.58	29.58	55.21	45.42	57.64	27.71	26.44	29.05	27.62	24.50	23.90	25.42	31.16	30.43	24.15	29.96	39.80	35.06	30.24	30.14	29.85	34.04	29.38	39.82	39.79	34.70	55.84
chr1	2403963	2413797	9834	PEX10	59.01	26.05	39.44	32.01	34.43	28.12	32.25	55.96	55.29	51.89	51.50	62.08	39.26	41.86	36.88	35.03	35.88	28.86	34.66	36.50	39.84	36.32	47.77	39.61	42.38	40.85	36.26	50.09	51.94	25.26	32.76	36.44	43.81	39.20	40.32	49.78	38.79	33.60	55.90	34.90	45.23	45.30	28.38	32.07	36.78	27.14	47.69	50.09	36.13	62.80	44.59	59.26	29.60	30.34	33.47	31.95	32.33	31.52	31.27	37.45	36.97	31.30	38.21	44.31	40.65	35.90	35.13	35.62	36.23	36.01	46.80	45.78	42.70	56.57
chr1	6247352	6261098	13746	GPR153	54.21	25.59	35.69	29.02	32.18	27.19	26.86	52.22	50.75	50.33	45.29	59.09	34.43	40.44	35.77	32.02	32.26	27.68	33.34	33.99	35.34	33.81	42.52	34.63	39.40	37.71	34.94	43.91	51.26	25.17	30.17	34.63	43.58	37.59	35.49	43.24	37.27	30.74	51.50	33.19	42.35	39.95	27.68	29.49	36.74	27.13	43.38	48.20	32.49	54.18	44.34	53.61	29.37	30.05	33.10	28.12	27.85	29.60	28.28	34.12	33.26	32.09	33.72	38.77	37.15	33.34	34.46	33.82	35.08	31.26	43.24	41.48	38.12	47.69
chr1	6467121	6520074	52953	PLEKHG5	54.61	25.20	36.81	28.57	33.28	29.64	28.22	54.05	52.38	52.58	46.41	59.66	36.43	40.30	35.90	32.63	33.52	29.05	34.40	34.10	35.23	33.23	42.96	36.43	40.49	38.31	35.86	46.60	50.02	25.30	30.65	34.85	42.58	37.40	36.41	45.10	36.59	31.84	53.43	33.60	42.48	42.07	28.16	30.81	36.50	26.60	43.77	47.01	32.94	54.60	42.20	54.23	28.07	29.12	31.64	29.30	29.33	30.15	28.28	34.40	33.98	30.36	35.68	40.89	38.50	35.04	34.47	32.74	34.26	33.77	43.72	42.49	41.80	51.46
chr1	6785453	7769706	984253	CAMTA1	57.54	26.48	34.09	30.02	35.83	30.48	31.05	53.29	49.93	50.17	45.98	61.36	42.29	42.65	41.16	34.54	36.51	31.16	34.40	34.81	35.97	35.12	48.35	38.02	42.28	40.46	34.88	44.40	54.26	29.64	34.57	37.71	40.85	38.00	37.21	47.62	38.27	35.32	55.53	35.23	44.76	44.58	32.50	34.76	39.60	30.02	45.07	51.62	38.54	49.70	40.88	48.77	31.19	32.08	34.97	32.78	35.23	34.49	33.42	39.41	37.88	36.85	41.90	45.11	42.16	42.21	40.38	38.44	39.95	35.56	48.95	44.99	44.50	48.37
chr1	7954290	7985505	31215	PARK7	56.29	24.68	31.84	28.82	35.80	30.43	29.24	50.76	47.57	49.21	46.31	59.95	43.71	44.06	43.27	33.87	36.34	30.89	34.53	34.79	36.30	34.25	47.89	39.29	42.50	40.07	33.66	43.53	53.89	30.21	35.29	37.06	40.74	36.58	36.27	45.68	38.56	36.87	55.69	34.93	44.19	44.27	32.21	33.96	40.23	31.30	44.35	53.71	39.48	47.91	39.38	46.73	31.21	30.29	33.62	33.37	35.86	34.52	34.67	40.98	37.58	37.81	42.32	45.22	42.55	43.04	41.46	39.01	40.94	35.95	48.48	44.67	44.59	48.33
chr1	10210569	10381603	171034	KIF1B	57.45	24.97	31.99	29.19	36.31	31.03	29.64	52.60	47.41	48.60	46.21	62.04	45.73	43.40	44.36	35.79	37.34	32.19	35.04	35.08	37.10	35.61	48.27	39.16	42.90	41.19	33.61	42.71	55.38	31.30	36.33	38.18	40.55	37.24	37.21	47.05	39.14	36.60	56.88	35.60	45.25	45.10	33.43	36.51	41.95	31.43	45.29	54.10	41.03	45.62	41.14	45.50	32.77	31.88	34.48	33.43	36.95	35.49	35.43	41.13	39.33	40.04	44.96	46.67	43.57	46.76	42.86	40.80	42.07	36.30	50.23	46.10	45.67	46.57
