tx	start	end	strand
NR_184402.1	236686499	236686799	+
NR_184402.1	236717857	236717972	+
NR_184402.1	236718893	236719013	+
NR_184402.1	236720104	236720191	+
NR_184402.1	236725932	236726020	+
NR_184402.1	236727677	236727756	+
NR_184402.1	236731232	236731314	+
NR_184402.1	236734432	236734518	+
NR_184402.1	236735634	236735720	+
NR_184402.1	236736557	236736668	+
NR_184402.1	236737121	236737214	+
NR_184402.1	236739301	236739532	+
NR_184402.1	236742895	236743043	+
NR_184402.1	236744625	236744776	+
NR_184402.1	236747666	236747775	+
NR_184402.1	236749123	236749264	+
NR_184402.1	236751469	236751652	+
NR_184402.1	236753946	236754081	+
NR_184402.1	236755018	236755198	+
NR_184402.1	236757485	236757632	+
NR_184402.1	236759723	236759789	+
NR_184402.1	236761014	236761173	+
NR_184402.1	236762460	236764631	+
NM_001278343.2	236686499	236686799	+
NM_001278343.2	236717857	236717972	+
NM_001278343.2	236718893	236719013	+
NM_001278343.2	236720104	236720191	+
NM_001278343.2	236725932	236726020	+
NM_001278343.2	236727677	236727756	+
NM_001278343.2	236731232	236731314	+
NM_001278343.2	236734432	236734518	+
NM_001278343.2	236737121	236737214	+
NM_001278343.2	236739301	236739532	+
NM_001278343.2	236742895	236743043	+
NM_001278343.2	236744625	236744776	+
NM_001278343.2	236747666	236747775	+
NM_001278343.2	236749123	236749264	+
NM_001278343.2	236751469	236751652	+
NM_001278343.2	236753946	236754081	+
NM_001278343.2	236755018	236755198	+
NM_001278343.2	236757485	236757632	+
NM_001278343.2	236759723	236759789	+
NM_001278343.2	236761014	236761173	+
NM_001278343.2	236762460	236764631	+
NM_001103.4	236686499	236686799	+
NM_001103.4	236717857	236717972	+
NM_001103.4	236718893	236719013	+
NM_001103.4	236720104	236720191	+
NM_001103.4	236725932	236726020	+
NM_001103.4	236727677	236727756	+
NM_001103.4	236731232	236731314	+
NM_001103.4	236735634	236735720	+
NM_001103.4	236737121	236737214	+
NM_001103.4	236739301	236739532	+
NM_001103.4	236742895	236743043	+
NM_001103.4	236744625	236744776	+
NM_001103.4	236747666	236747775	+
NM_001103.4	236749123	236749264	+
NM_001103.4	236751469	236751652	+
NM_001103.4	236753946	236754081	+
NM_001103.4	236755018	236755198	+
NM_001103.4	236757485	236757632	+
NM_001103.4	236759723	236759789	+
NM_001103.4	236761014	236761173	+
NM_001103.4	236762460	236764631	+
